Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeID,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,JobInvolvement,PerformanceRating,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,AverageTimeWorking,Holidays,AverageInTime,AverageOutTime,WorkingTimeEval
51,No,Travel_Rarely,Sales,6,2,Life Sciences,1,Female,1,Healthcare Representative,Married,131160,1.0,11,8,0,1.0,6,1,0,0,3,3,3.0,4.0,2.0,7.373611111111111,29,10.001388888888888,17.375,0
31,Yes,Travel_Frequently,Research & Development,10,1,Life Sciences,2,Female,1,Research Scientist,Single,41890,0.0,23,8,1,6.0,3,5,1,4,2,4,3.0,2.0,4.0,7.7188888888888885,25,9.988055555555556,17.706944444444446,0
32,No,Travel_Frequently,Research & Development,17,4,Other,3,Male,4,Sales Executive,Married,193280,1.0,15,8,3,5.0,2,5,0,3,3,3,2.0,2.0,1.0,7.013055555555556,19,10.025,17.038055555555555,0
38,No,Non-Travel,Research & Development,2,5,Life Sciences,4,Male,3,Human Resources,Married,83210,3.0,11,8,3,13.0,5,8,7,5,2,3,4.0,4.0,3.0,7.193611111111111,26,9.981666666666667,17.17527777777778,0
32,No,Travel_Rarely,Research & Development,10,1,Medical,5,Male,1,Sales Executive,Single,23420,4.0,12,8,2,9.0,2,6,0,4,3,3,4.0,1.0,3.0,8.005833333333333,16,9.998333333333333,18.004166666666666,1
46,No,Travel_Rarely,Research & Development,8,3,Life Sciences,6,Female,4,Research Director,Married,40710,3.0,13,8,0,28.0,5,7,7,7,3,3,3.0,2.0,2.0,10.796111111111111,24,9.988888888888889,20.785,2
28,Yes,Travel_Rarely,Research & Development,11,2,Medical,7,Male,2,Sales Executive,Single,58130,2.0,20,8,1,5.0,2,0,0,0,3,4,1.0,3.0,1.0,6.923611111111111,29,9.964166666666667,16.887777777777778,0
29,No,Travel_Rarely,Research & Development,18,3,Life Sciences,8,Male,2,Sales Executive,Married,31430,2.0,22,8,3,10.0,2,0,0,0,3,4,1.0,2.0,3.0,6.725555555555555,18,10.0025,16.728055555555557,0
31,No,Travel_Rarely,Research & Development,1,3,Life Sciences,9,Male,3,Laboratory Technician,Married,20440,0.0,21,8,0,10.0,2,9,7,8,3,4,2.0,4.0,3.0,7.2363888888888885,31,10.0225,17.25888888888889,0
25,No,Non-Travel,Research & Development,7,4,Medical,10,Female,4,Laboratory Technician,Divorced,134640,1.0,13,8,1,6.0,2,6,1,5,3,3,2.0,1.0,3.0,7.08,27,9.964444444444444,17.044444444444444,0
